datetime,latitude,longitude,action,user
2018-07-10 3:51:40,51.9663220841624,7.67830995167838,"Added friend",22
2018-07-4 8:3:15,51.975616761744,7.65614188431995,"Added friend",50
2018-07-26 2:2:21,51.951023144573,7.62720599736087,"Added friend",20
2018-07-24 3:58:52,51.9564704054408,7.68628840847872,"Checked in",3
2018-07-20 1:48:19,51.9317171634175,7.64583569889655,"Added friend",24
2018-07-6 8:36:27,51.9406202232465,7.60014576189918,"Checked in",41
2018-07-30 9:34:46,51.9603045351803,7.59375349369831,"Checked in",50
2018-07-1 6:26:46,51.9242734862491,7.67068249603733,"Liked post",9
2018-07-5 12:9:49,51.976764238812,7.60139590629376,"Checked in",45
2018-07-24 2:40:3,51.9715460614301,7.59616484770551,"Liked post",8
2018-07-16 4:36:12,51.9427102969959,7.63669300713809,"Checked in",24
2018-07-28 8:42:58,51.9946174309403,7.60244472607039,"Liked post",10
2018-07-4 9:39:20,51.9316031462885,7.56473645918304,"Liked post",30
2018-07-5 10:58:27,51.9939876442589,7.66682871261146,"Checked in",14
2018-07-19 9:44:5,51.9375900997967,7.67496889055241,"Added friend",7
2018-07-13 7:12:45,51.9960351935588,7.57079063452082,"Checked in",31
2018-07-21 1:57:38,51.9292519886233,7.61030076286057,"Liked post",13
2018-07-11 2:6:31,51.9992942039482,7.66265200557653,"Added friend",12
2018-07-31 8:56:25,51.9739653305337,7.64164207136259,"Checked in",28
2018-07-26 2:18:59,51.9299909689277,7.6782503066794,"Checked in",45
2018-07-29 9:32:33,51.941058034692,7.59316225409973,"Added friend",2
2018-07-14 2:8:46,51.9796374321356,7.60348084452329,"Added friend",39
2018-07-10 9:40:3,51.9242943877727,7.60247889396269,"Liked post",39
2018-07-4 5:31:48,51.9408382002451,7.61145247286651,"Liked post",10
2018-07-30 5:42:1,51.9941514758766,7.6530581965507,"Liked post",35
2018-07-3 11:20:35,51.9396953615732,7.62222513625631,"Checked in",41
2018-07-6 10:58:33,51.974060759414,7.68804973129416,"Checked in",35
2018-07-24 3:6:6,51.9504460456595,7.59948593308218,"Checked in",36
2018-07-25 4:33:20,51.9204930193536,7.64826622182969,"Checked in",38
2018-07-25 11:26:51,51.938009859547,7.66717983351089,"Checked in",18
2018-07-9 3:40:32,51.9511895588785,7.6350917537394,"Checked in",18
2018-07-23 10:7:18,51.9968739155494,7.57598204537993,"Liked post",37
2018-07-30 8:25:45,51.9756353334338,7.57469735904131,"Checked in",44
2018-07-2 6:31:25,51.9533666358329,7.64507087661885,"Checked in",24
2018-07-5 9:32:4,51.9605590545759,7.59298197817057,"Added friend",8
2018-07-4 10:52:18,51.9454449005425,7.67188503794372,"Added friend",42
2018-07-1 7:26:46,51.9841061796434,7.56391539184842,"Checked in",30
2018-07-27 1:38:59,51.9321592306905,7.64755350237479,"Checked in",6
2018-07-20 8:51:16,51.999444087334,7.59472829947714,"Added friend",5
2018-07-20 5:2:14,51.9731498068385,7.64397518048296,"Checked in",39
2018-07-6 6:3:17,51.9312474646233,7.67827675777953,"Liked post",37
2018-07-4 1:12:11,51.9505652799457,7.62508846178418,"Liked post",32
2018-07-3 6:53:16,51.9583802603371,7.65709618487163,"Added friend",41
2018-07-14 11:40:8,51.9962421332672,7.64685344949597,"Added friend",22
2018-07-23 12:51:60,51.9881222695857,7.6687105528824,"Checked in",25
2018-07-3 10:49:19,51.9861934683844,7.58908578636358,"Added friend",22
2018-07-8 8:13:26,51.9653273347951,7.65698247223394,"Added friend",3
2018-07-24 5:45:43,51.9202930629998,7.68632824765286,"Liked post",11
2018-07-28 2:3:16,51.9476130058616,7.62585688513471,"Added friend",32
2018-07-22 3:9:42,51.9669136000052,7.63708444235846,"Liked post",40
2018-07-9 1:30:24,51.9822138903849,7.61721148820594,"Added friend",29
2018-07-19 1:1:20,51.9511894442141,7.63091352322605,"Liked post",24
2018-07-31 12:14:30,51.9660643147305,7.5928901388729,"Added friend",18
2018-07-27 6:26:22,51.9631810150482,7.61363290479872,"Liked post",7
2018-07-1 1:9:60,51.9825283118151,7.56285286554834,"Added friend",5
2018-07-20 11:35:5,51.9438864367828,7.67531909787329,"Checked in",10
2018-07-31 5:48:28,51.9759388618171,7.57245103688678,"Liked post",31
2018-07-26 10:43:34,51.9881672980823,7.58298589017708,"Added friend",23
2018-07-27 2:36:54,51.9211454712786,7.68296481715515,"Liked post",30
2018-07-26 7:19:4,51.9986390177533,7.59279499633936,"Added friend",46
2018-07-17 10:55:46,51.9237845077366,7.56121459461749,"Checked in",4
2018-07-2 3:27:29,51.9233487783372,7.57452779858373,"Liked post",17
2018-07-28 2:1:31,51.9590130020306,7.58740787823684,"Checked in",18
2018-07-22 7:40:31,51.9346832165308,7.64328707467997,"Checked in",12
2018-07-18 3:14:4,51.9312062785402,7.58277571008541,"Added friend",7
2018-07-2 5:58:50,51.933958727587,7.63121508823242,"Checked in",10
2018-07-25 10:59:36,51.9403671791777,7.60143339070957,"Added friend",5
2018-07-19 7:44:29,51.9460946848243,7.65274632441811,"Added friend",25
2018-07-13 4:16:48,51.9338013358228,7.67285483007319,"Checked in",16
2018-07-23 6:35:11,51.9667053002119,7.66161621568259,"Checked in",30
2018-07-30 5:46:47,51.9529307548329,7.60375234745909,"Checked in",7
2018-07-21 12:16:31,51.9252639190294,7.68422145427438,"Added friend",47
2018-07-2 4:28:30,51.9904162029736,7.62657938181423,"Checked in",22
2018-07-27 7:19:19,51.9780384334363,7.64008228703868,"Added friend",30
2018-07-17 10:53:51,51.9658179185167,7.63349731638795,"Checked in",31
2018-07-4 3:59:5,51.9434707234055,7.62257441852707,"Checked in",30
2018-07-15 10:52:32,51.9533785733208,7.58525589097524,"Checked in",6
2018-07-20 9:58:60,51.9663564565033,7.66518730906537,"Checked in",22
2018-07-30 5:40:32,51.9972084704228,7.63362851547543,"Checked in",24
2018-07-28 12:4:33,51.9441490767896,7.68379222227261,"Liked post",31
2018-07-7 4:48:51,51.9858866772428,7.6542654563277,"Added friend",15
2018-07-21 11:10:47,51.926395664569,7.65678744132863,"Checked in",46
2018-07-24 12:24:33,51.9787600812316,7.62568338448182,"Added friend",32
2018-07-15 4:8:7,51.9947819976322,7.66631002694368,"Added friend",3
2018-07-17 9:50:42,51.9520553191751,7.62691508962074,"Checked in",1
2018-07-13 1:47:14,51.9621684573777,7.59878779901192,"Checked in",28
2018-07-29 6:44:44,51.9377834104002,7.64999912860803,"Checked in",34
2018-07-7 8:54:50,51.9402214293927,7.64330513246823,"Added friend",35
2018-07-24 2:30:47,51.9995223468728,7.65045562585816,"Added friend",12
2018-07-6 11:17:2,51.9929408639669,7.62274643066106,"Liked post",4
2018-07-30 8:5:29,51.9691664499789,7.62305465934565,"Added friend",10
2018-07-4 9:53:60,51.923314514365,7.57561284117633,"Checked in",40
2018-07-11 1:19:36,51.9278609012254,7.57748224872164,"Liked post",16
2018-07-11 7:4:57,51.9350927032903,7.57148954454111,"Checked in",20
